id	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
18	3.94 	4.88 	8.28 	9.48 	6.29 	3.92 	2.84 	2.57 	2.36 	5.41 	1.77 	4.42 	3.76 	2.42 	2.66 	3.12 	6.09 	11.03 	11.38 	6.91 	4.09 
19	4.78 	8.14 	30.62 	9.83 	6.91 	5.51 	3.45 	3.10 	5.55 	21.43 	5.12 	14.54 	11.75 	7.00 	7.34 	10.11 	11.53 	28.72 	18.35 	11.88 	7.51 
20	3.77 	3.22 	5.93 	7.56 	8.08 	4.74 	2.60 	1.87 	2.90 	6.22 	1.80 	4.56 	3.92 	3.70 	2.18 	1.91 	2.50 	2.80 	2.53 	2.03 	1.24 
21	4.22 	4.97 	19.37 	13.41 	7.20 	4.64 	4.06 	3.10 	5.42 	13.39 	7.53 	9.70 	9.04 	4.56 	5.73 	5.94 	3.63 	4.40 	2.89 	2.75 	1.53 
22	3.97 	3.42 	6.78 	6.65 	7.63 	5.17 	5.72 	4.53 	4.38 	6.92 	2.18 	5.91 	3.33 	2.16 	2.54 	2.04 	3.22 	5.61 	4.27 	4.00 	3.39 
23	15.30 	29.30 	63.16 	-3.09 	-0.99 	-0.61 	-0.27 	-0.27 	-0.52 	-0.51 	-0.36 	-1.30 	-1.24 	1101.93 	-1489.87 	2.08 	2.55 	2.82 	2.12 	1.82 	1.05 
24	2.73 	2.52 	4.99 	3.54 	3.68 	2.93 	3.09 	2.58 	3.78 	6.73 	2.74 	3.43 	2.42 	1.54 	1.62 	1.24 	2.56 	4.26 	2.75 	2.19 	1.13 
25	5.34 	10.42 	11.57 	9.06 	3.49 	2.45 	2.34 	1.65 	1.40 	3.29 	1.59 	2.70 	3.11 	1.83 	1.87 	2.30 	2.87 	6.53 	4.39 	2.88 	2.12 
26	40.12 	46.57 	14.52 	8.55 	9.57 	7.40 	-4.04 	-1.05 	-1.23 	-3.70 	-0.57 	-3.89 	44.87 	16.41 	16.35 	14.21 	14.78 	53.50 	5.51 	4.22 	2.29 
27	6.47 	10.88 	13.90 	8.52 	6.55 	3.44 	-0.52 	-0.19 	-0.25 	-0.57 	-0.37 	-0.83 	-0.83 	-1.50 	-1.25 	161.46 	4.83 	5.14 	4.42 	3.01 	2.17 
28	2.04 	2.14 	4.00 	2.57 	1.86 	1.30 	1.31 	0.98 	2.71 	5.52 	1.93 	5.02 	2.64 	1.60 	2.18 	1.73 	2.72 	5.01 	2.84 	2.34 	1.31 
29	6.22 	10.12 	15.99 	12.38 	9.29 	5.87 	6.39 	6.88 	-4.39 	-13.20 	10.81 	8.94 	7.32 	7.22 	7.12 	7.56 	14.98 	47.30 	2.99 	2.01 	2.35 
30	3.88 	3.41 	4.55 	3.79 	2.55 	2.39 	3.01 	1.80 	3.42 	4.33 	1.23 	2.46 	3.77 	1.84 	1.57 	1.91 	2.62 	2.36 	1.60 	2.24 	0.95 
31	3.13 	3.03 	3.32 	2.49 	1.74 	1.33 	0.88 	1.15 	2.22 	2.93 	0.81 	2.58 	1.74 	1.30 	1.66 	2.00 	2.23 	2.48 	2.29 	1.68 	1.03 
32	2.67 	2.75 	5.00 	6.52 	5.19 	3.00 	3.45 	2.54 	2.64 	3.16 	0.75 	1.96 	1.39 	0.81 	1.68 	1.25 	1.70 	2.03 	2.00 	1.55 	1.03 
33	6.08 	6.82 	9.96 	8.56 	6.22 	4.20 	5.24 	3.81 	3.06 	5.77 	2.84 	6.84 	4.07 	2.29 	1.68 	1.76 	2.17 	3.29 	3.03 	2.08 	1.25 
34	5.55 	3.94 	4.74 	2.30 	1.67 	1.26 	1.09 	0.90 	1.96 	8.46 	1.62 	3.78 	2.60 	2.46 	2.89 	2.22 	4.86 	5.56 	2.63 	1.93 	1.21 
35	10.37 	19.90 	32.40 	46.88 	43.26 	25.34 	18.14 	-13.45 	-3.25 	-9.64 	-3.91 	-26.95 	-16.70 	8.79 	6.40 	10.78 	7.98 	19.84 	20.28 	13.58 	7.01 
36	3.89 	5.05 	11.74 	9.53 	8.58 	6.53 	5.48 	5.01 	5.06 	10.27 	5.76 	10.65 	17.24 	9.06 	11.33 	17.99 	8.33 	12.52 	7.47 	5.78 	3.36 
37	5.92 	5.44 	8.56 	3.18 	2.27 	2.37 	3.04 	2.02 	3.02 	3.46 	1.30 	3.33 	7.07 	2.71 	3.31 	4.36 	2.66 	1.81 	1.92 	1.91 	0.77 
38	6.47 	4.21 	5.85 	5.32 	4.81 	4.39 	5.26 	3.76 	3.49 	5.61 	3.06 	6.66 	4.97 	2.75 	3.03 	3.68 	6.22 	8.25 	4.55 	2.21 	0.89 
39	3.86 	3.95 	6.69 	5.40 	5.90 	3.56 	6.67 	4.30 	4.44 	12.61 	5.97 	10.06 	47.14 	-31.43 	-37.29 	1.94 	1.94 	3.88 	2.97 	2.94 	1.04 
40	4.97 	9.09 	5.67 	5.25 	4.65 	3.53 	2.83 	1.88 	1.94 	5.33 	1.22 	5.19 	3.74 	3.75 	2.67 	3.05 	4.13 	6.30 	5.59 	4.77 	3.94 
41	2.14 	2.06 	3.32 	2.66 	2.64 	2.25 	2.39 	1.33 	1.38 	1.47 	1.01 	2.24 	2.12 	1.22 	1.12 	0.84 	1.70 	1.45 	1.78 	1.25 	0.72 
42	3.19 	2.43 	3.76 	2.85 	2.33 	2.80 	2.16 	1.86 	4.46 	8.72 	2.29 	7.30 	7.80 	3.20 	3.32 	2.17 	3.25 	4.23 	3.21 	2.66 	1.37 
43	4.51 	3.96 	3.48 	2.52 	2.56 	1.79 	1.02 	1.18 	3.37 	6.70 	2.53 	3.70 	4.40 	2.66 	2.47 	2.94 	4.55 	6.24 	4.33 	2.70 	1.67 
44	5.51 	5.00 	4.37 	2.62 	1.90 	1.77 	1.37 	0.99 	1.72 	2.80 	0.96 	4.09 	3.20 	2.25 	2.57 	4.05 	4.37 	7.33 	5.14 	4.04 	2.56 
45	10.56 	6.47 	8.35 	3.38 	1.67 	2.47 	2.79 	2.63 	3.49 	5.04 	2.56 	4.88 	3.39 	2.40 	1.56 	1.99 	2.50 	2.61 	2.53 	4.82 	3.59 
46	8.12 	8.00 	14.61 	5.84 	3.84 	3.87 	2.07 	2.00 	1.58 	9.07 	2.43 	10.18 	6.48 	3.72 	2.39 	3.54 	4.79 	4.31 	4.36 	2.56 	1.41 
47	6.11 	8.15 	8.19 	5.32 	3.66 	3.04 	2.65 	2.12 	1.47 	3.30 	1.55 	4.05 	3.67 	2.09 	1.57 	1.87 	2.97 	11.01 	5.94 	3.22 	2.23 
48	2.30 	2.76 	5.53 	3.70 	3.62 	3.72 	3.22 	1.35 	1.73 	4.30 	1.09 	40.79 	20.10 	26.92 	17.78 	25.23 	89.61 	20.76 	13.42 	7.74 	8.18 
49	5.00 	4.73 	6.19 	5.88 	5.01 	4.54 	3.98 	5.43 	8.18 	13.33 	3.84 	5.09 	2.86 	2.45 	2.74 	1.62 	2.13 	1.70 	1.30 	1.34 	0.88 
50			8.53 	5.16 	3.24 	2.07 	1.89 	1.65 	1.57 	4.20 	1.50 	3.49 	3.64 	2.20 	1.95 	2.70 	2.79 	6.48 	4.56 	2.96 	1.99 
51	11.01 	13.69 	14.29 	1.97 	1.48 	1.21 	1.09 	1.59 	2.41 	7.50 	2.89 	17.61 	10.50 	5.31 	4.50 	3.63 	4.97 	9.99 	3.11 	2.83 	1.33 
52	2.94 	3.35 	5.85 	5.76 	4.34 	5.04 	4.29 	3.64 	3.61 	5.82 	1.55 	2.50 	1.79 	1.61 	1.72 	2.48 	3.74 	3.04 	2.35 	2.38 	1.44 
53	2.84 	5.45 	4.61 	3.53 	2.67 	2.85 	2.41 	1.67 	2.18 	3.97 	1.93 	2.46 	1.60 	1.03 	0.89 	0.94 	1.31 	1.64 	1.54 	1.60 	1.37 
54		4.05 	5.49 	3.38 	2.10 	1.57 	1.13 	0.79 	1.70 	2.04 	0.62 	2.07 	1.16 	1.02 	1.18 	1.10 	2.07 	2.36 	1.84 	1.84 	0.96 
55			5.09 	4.62 	3.93 	3.19 	2.36 	1.82 	1.57 	4.13 	1.26 	2.50 	2.03 	1.22 	1.13 	1.51 	2.24 	4.53 	3.42 	2.93 	1.97 
56			5.77 	3.54 	2.59 	1.98 	2.12 	1.71 	1.63 	4.07 	1.23 	2.68 	3.64 	2.19 	2.01 	1.98 	3.09 	3.22 	2.50 	1.85 	1.11 
57							1.71 	1.23 	2.00 	4.34 	1.70 	2.85 	1.41 	1.38 	1.58 	1.40 	1.97 	2.15 	1.77 	1.77 	1.09 
58			6.79 	3.37 	3.01 	2.66 	1.66 	1.35 	3.84 	6.51 	1.54 	3.53 	2.26 	1.52 	2.23 	2.21 	6.83 	10.18 	5.71 	6.01 	3.83 
59			5.75 	4.16 	4.48 	1.83 	1.52 	1.21 	1.22 	4.38 	1.19 	3.52 	4.17 	2.98 	2.26 	2.22 	5.63 	7.17 	5.85 	3.68 	3.03 
60			4.64 	3.40 	2.53 	3.32 	1.95 	1.31 	1.36 	3.00 	1.35 	2.92 	3.65 	2.18 	2.29 	2.41 	3.47 	2.83 	3.49 	2.06 	1.27 
61			4.78 	3.22 	2.30 	1.88 	2.03 	-0.35 	-0.20 	-0.20 	-0.21 	-0.25 	-0.40 	-0.59 	13.58 	13.00 	12.94 	5.08 	2.54 	1.57 	1.06 
62			4.58 	4.95 	3.48 	3.94 	2.27 	1.88 	4.88 	12.04 	3.33 	5.83 	2.99 	1.67 	1.74 	1.01 	1.33 	1.03 	0.95 	0.93 	0.73 
63			4.61 	2.96 	2.03 	1.45 	1.11 	0.90 	1.12 	2.95 	0.94 	2.88 	2.02 	1.19 	1.00 	1.22 	2.79 	4.77 	2.77 	2.18 	1.42 
64			6.59 	3.61 	2.21 	1.97 	1.47 	1.18 	1.40 	4.71 	1.95 	3.87 	4.23 	1.93 	1.49 	1.69 	2.26 	2.07 	1.87 	1.22 	0.94 
65			4.88 	3.43 	2.10 	1.66 	1.27 	0.87 	1.83 	6.44 	1.69 	3.48 	2.46 	1.36 	1.40 	1.33 	1.99 	2.42 	1.88 	1.80 	1.70 
66																2.57 	2.93 	2.85 	2.97 	4.92 	2.96 
67										7.07 	1.87 	4.57 	4.71 	2.29 	2.03 	1.37 	1.68 	1.22 	1.25 	1.89 	1.57 
68	4.91 	4.30 	5.45 	2.89 	1.86 	2.26 	1.79 	0.90 	1.73 	3.36 	2.33 	3.81 	5.23 	2.90 	3.33 	4.65 	3.61 	3.11 	2.59 	1.76 	1.16 
69	3.74 	3.27 	4.09 	3.50 	2.74 	2.89 	1.57 	1.38 	2.00 	7.49 	2.03 	3.50 	3.55 	1.76 	1.60 	0.96 	1.49 	1.46 	1.61 	1.84 	1.44 
70	3.80 	10.21 	11.88 	7.06 	3.18 	2.76 	2.33 	2.92 	4.06 	6.48 	1.30 	1.94 	1.18 	1.01 	1.03 	0.71 	1.52 	1.35 	1.11 	1.12 	0.60 
71	4.30 	4.51 	7.95 	5.01 	4.29 	2.03 	1.93 	-68.92 	-2.18 	-5.77 	847.86 	300.04 	6.83 	5.42 	4.66 	14.27 	11.47 	15.98 	16.13 	14.59 	10.76 
72	4.55 	3.55 	5.36 	2.87 	2.26 	1.80 	1.80 	1.53 	2.00 	7.28 	2.42 	5.15 	5.38 	2.50 	2.77 	1.79 	2.20 	2.34 	2.29 	1.39 	0.84 
73	2.75 	3.63 	6.79 	4.06 	2.19 	1.38 	0.96 	1.24 	1.12 	3.40 	3.82 	17.38 	18.60 	10.34 	11.33 	7.89 	19.66 	65.73 	5.26 	5.40 	2.85 
74	6.26 	8.28 	13.57 	7.80 	8.15 	4.67 	4.67 	2.35 	4.79 	28.61 	9.30 	35.96 	33.75 	19.72 	7.34 	5.73 	4.67 	5.36 	7.17 	3.76 	2.93 
75	1.88 	2.07 	3.59 	2.75 	2.42 	3.38 	2.51 	2.57 	5.59 	7.89 	2.03 	4.68 	4.51 	2.41 	2.17 	1.66 	3.55 	9.30 	15.53 	8.64 	71.76 
76	3.65 	7.54 	28.36 	14.76 	11.30 	7.01 	7.82 	6.22 	5.72 	12.98 	6.18 	8.76 	9.77 	5.01 	3.74 	4.07 	7.29 	8.18 	6.04 	4.89 	2.82 
77	4.97 	8.05 	8.78 	6.74 	4.76 	2.80 	2.74 	4.01 	4.78 	13.04 	6.40 	16.31 	24.41 	17.87 	11.71 	2.63 	3.17 	2.43 	2.50 	1.74 	0.79 
78	2.44 	2.63 	3.59 	2.55 	1.72 	1.26 	1.15 	1.22 	1.69 	5.29 	3.62 	6.86 	7.36 	3.17 	2.05 	1.61 	1.99 	2.52 	1.89 	1.72 	0.90 
79	7.39 	5.83 	4.93 	4.43 	2.56 	1.80 	1.30 	1.06 	2.23 	5.06 	1.72 	3.36 	4.42 	1.53 	1.45 	1.68 	1.97 	2.65 	2.20 	1.64 	0.80 
80	2.69 	2.41 	2.62 	2.13 	1.65 	1.66 	1.31 	0.76 	0.82 	3.37 	0.96 	2.39 	3.94 	2.71 	2.31 	9.79 	3.74 	5.64 	2.85 	2.21 	1.28 
81	4.96 	3.23 	3.57 	2.58 	2.35 	1.78 	1.83 	1.09 	1.72 	6.96 	2.11 	5.33 	3.75 	1.83 	1.62 	0.92 	1.10 	1.14 	1.48 	-10.12 	27.40 
82	5.33 	4.44 	4.56 	4.04 	3.48 	2.47 	3.31 	2.17 	5.09 	13.95 	5.03 	7.16 	12.18 	8.20 	6.22 	5.17 	4.12 	4.88 	4.21 	4.00 	2.29 
83	3.41 	4.57 	11.98 	9.52 	8.86 	2.67 	2.20 	1.71 	3.12 	10.30 	6.75 	6.96 	4.90 	1.94 	1.36 	0.81 	1.65 	1.46 	1.16 	1.52 	0.99 
84	2.28 	2.42 	3.82 	2.29 	1.58 	1.53 	1.04 	0.78 	0.94 	3.24 	1.01 	5.00 	5.89 	2.45 	3.25 	1.64 	2.59 	3.12 	3.10 	3.41 	1.82 
85	3.83 	3.57 	4.92 	3.37 	3.01 	1.94 	2.17 	1.40 	3.97 	8.27 	1.60 	3.73 	3.74 	1.96 	1.94 	2.67 	2.72 	3.27 	2.55 	1.41 	1.00 
86	2.11 	2.95 	3.85 	2.15 	1.69 	1.78 	1.70 	1.51 	1.85 	3.69 	1.38 	1.91 	1.41 	0.99 	0.93 	0.87 	1.24 	1.67 	1.73 	1.88 	1.83 
87	7.13 	6.30 	22.07 	7.64 	5.60 	3.94 	3.14 	2.42 	-8.85 	-23.77 	-17.15 	-40.75 	-172.40 	10.93 	7.80 	5.22 	5.27 	8.23 	5.85 	2.23 	1.24 
88			3.14 	2.08 	2.35 	2.06 	1.99 	1.07 	1.16 	3.15 	0.86 	1.36 	1.08 	0.71 	0.62 	0.66 	0.86 	1.21 	1.32 	1.82 	0.93 
89	2.79 	2.72 	4.47 	5.20 	4.12 	3.54 	2.75 	1.83 	13.36 	-4.51 	-2.15 	154.06 	144.67 	138.09 	0.70 	1.97 	1.96 	3.31 	2.56 	1.86 	1.13 
90	1.73 	2.04 	3.78 	3.24 	2.40 	2.07 	1.66 	2.04 	3.11 	8.64 	2.00 	5.32 	5.45 	3.79 	2.40 	2.24 	2.26 	2.74 	1.91 	1.71 	0.88 
91	30.24 	7.40 	9.87 	8.68 	10.53 	10.77 	4.48 	2.61 	4.55 	15.04 	5.88 	6.73 	7.01 	4.41 	5.94 	5.85 	8.56 	32.52 	18.46 	15.80 	6.80 
92	6.34 	10.02 	19.27 	12.49 	9.00 	5.47 	6.59 	4.47 	4.60 	7.17 	2.47 	6.51 	7.28 	4.47 	6.68 	14.95 	21.46 	21.87 	26.58 	27.61 	11.77 
93	4.70 	10.21 	17.15 	9.87 	6.41 	4.71 	4.37 	2.83 	3.98 	7.90 	3.39 	17.85 	18.91 	11.72 	-71.09 	1759.87 	471.72 	-565.83 	979.19 	297.12 	-379.04 
94	5.72 	6.36 	10.35 	7.52 	8.40 	4.56 	4.32 	8.51 	5.25 	40.21 	18.60 	4.89 	4.26 	3.38 	5.21 	12.98 	205.63 	-20.83 	78.41 	2.73 	1.67 
95	4.07 	6.08 	11.21 	10.16 	9.79 	7.45 	2.07 	1.97 	-2.10 	-6.98 	2.42 	9.16 	8.92 	5.57 	4.00 	2.56 	4.59 	6.20 	6.91 	6.78 	2.37 
96	1.72 	2.16 	3.14 	2.64 	1.80 	2.34 	1.63 	1.08 	1.78 	3.80 	1.11 	2.59 	3.11 	1.60 	1.60 	1.74 	2.88 	2.32 	1.89 	2.93 	1.81 
97	4.82 	8.46 	8.54 	3.56 	4.19 	3.32 	2.83 	3.33 	3.29 	16.11 	50.62 	-120.45 	-290.05 	-26.80 	-13.41 	36.18 	94.03 	119.67 	181.58 	105.50 	213.02 
98	2.76 	3.10 	9.39 	9.75 	5.47 	2.85 	1.97 	1.26 	1.37 	4.23 	1.43 	5.20 	4.50 	2.96 	3.32 	3.68 	4.54 	6.93 	9.27 	6.31 	2.57 
99	1.97 	2.12 	4.34 	3.12 	2.85 	1.96 	1.92 	1.17 	1.32 	6.74 	2.99 	5.45 	5.15 	2.13 	3.42 	3.42 	3.96 	5.24 	3.89 	3.41 	1.70 
100	4.82 	8.69 	11.29 	47.10 	9.60 	5.51 	3.81 	2.41 	3.12 	3.91 	1.68 	4.07 	2.64 	1.29 	1.50 	1.37 	2.13 	3.47 	3.37 	1.72 	1.03 
101	5.60 	6.42 	9.22 	4.78 	3.51 	2.27 	1.93 	1.67 	2.11 	4.02 	1.71 	3.41 	3.77 	3.15 	2.61 	3.30 	5.46 	5.22 	4.46 	2.66 	1.70 
102	3.33 	5.99 	9.95 	6.80 	3.51 	4.47 	10.47 	-4.17 	-3.45 	-4.28 	-27.57 	6.35 	3.59 	2.35 	2.88 	1.59 	2.19 	5.97 	4.56 	2.55 	1.55 
103	8.04 	5.29 	10.57 	3.10 	4.22 	4.05 	2.30 	1.44 	2.36 	8.27 	3.24 	5.98 	10.06 	5.61 	5.34 	5.03 	8.30 	12.05 	14.96 	11.20 	5.95 
104	5.50 	6.80 	11.44 	5.33 	4.81 	4.73 	3.37 	1.78 	2.01 	4.53 	1.46 	9.60 	8.68 	3.99 	6.58 	2.58 	2.47 	4.22 	2.09 	1.84 	1.12 
105	1.96 	2.42 	3.12 	2.04 	1.96 	2.12 	1.62 	1.16 	1.90 	5.49 	1.91 	3.70 	3.27 	16.89 	-3.23 	-0.33 	13.76 	48.08 	30.08 	12.83 	7.71 
106	1.54 	1.68 	2.66 	2.80 	1.91 	1.95 	1.55 	1.30 	1.59 	3.61 	1.25 	4.10 	2.24 	1.01 	0.98 	1.18 	1.45 	1.65 	1.42 	1.05 	0.62 
107	1.95 	2.62 	5.00 	3.41 	3.28 	2.44 	1.83 	1.33 	1.49 	3.42 	1.41 	3.08 	5.34 	2.32 	2.38 	3.93 	4.16 	6.15 	3.33 	2.24 	1.31 
108	1.89 	2.13 	3.73 	3.32 	2.60 	1.87 	1.95 	1.19 	1.63 	4.24 	1.79 	3.70 	4.57 	2.78 	2.82 	2.54 	6.05 	8.68 	6.67 	3.00 	1.81 
109	6.72 	9.31 	6.82 	4.85 	4.15 	2.47 	2.41 	1.54 	3.28 	6.72 	5.63 	7.79 	7.43 	2.56 	1.97 	2.25 	2.12 	2.20 	2.10 	2.70 	1.76 
110	4.62 	5.56 	10.45 	6.85 	4.65 	2.74 	1.92 	2.35 	2.64 	5.40 	2.65 	8.53 	7.55 	4.00 	5.66 	11.96 	11.77 	44.91 	78.11 	49.98 	20.91 
111	1.80 	2.12 	3.89 	3.12 	2.99 	3.75 	1.57 	1.43 	4.24 	8.43 	1.69 	3.45 	2.85 	1.41 	1.21 	0.77 	1.56 	1.05 	0.93 	1.05 	0.92 
112	1.45 	1.46 	1.89 	1.97 	4.57 	12.08 	-6.23 	-0.97 	-0.74 	-0.76 	0.59 	6.73 	5.48 	4.82 	4.79 	4.25 	4.96 	6.19 	5.56 	2.89 	1.75 
113	2.51 	2.24 	3.58 	2.59 	2.19 	1.89 	1.23 	1.05 	1.33 	2.60 	1.00 	1.98 	2.41 	1.59 	1.32 	1.86 	2.05 	2.58 	2.05 	1.32 	0.84 
114	1.63 	2.26 	10.29 	5.34 	5.44 	4.28 	3.88 	2.05 	2.05 	10.28 	3.69 	6.95 	4.39 	4.12 	4.24 	7.13 	7.30 	13.93 	9.01 	4.87 	4.32 
115	2.23 	3.20 	4.28 	12.96 	5.65 	4.99 	3.40 	3.48 	7.23 	10.60 	2.80 	7.49 	7.40 	3.25 	2.66 	2.33 	3.20 	5.12 	5.60 	4.63 	2.88 
116	1.75 	2.13 	4.95 	3.34 	2.27 	2.29 	1.47 	1.06 	1.82 	5.91 	1.37 	3.42 	2.75 	1.84 	2.33 	1.64 	2.88 	3.54 	5.81 	4.45 	3.35 
117	10.34 	76.77 	-31.75 	-36.21 	235.92 	-13.55 	-25.54 	-21.36 	33.13 	15.75 	13.42 	55.84 	6.81 	3.56 	5.36 	7.63 	4.39 	3.95 	2.04 	1.08 	0.69 
118	3.55 	10.52 	10.22 	5.99 	5.64 	6.58 	4.16 	1.95 	7.45 	14.32 	3.45 	14.52 	6.93 	3.09 	3.23 	1.91 	2.45 	3.07 	2.03 	2.46 	1.31 
119	5.42 	5.47 	8.50 	9.22 	6.96 	4.86 	5.61 	7.30 	11.47 	11.79 	5.86 	9.01 	9.50 	6.62 	6.72 	7.84 	5.88 	5.63 	5.04 	5.88 	3.89 
120	3.93 	5.38 	15.75 	12.31 	15.21 	2.63 	3.06 	4.31 	5.00 	10.24 	2.32 	8.77 	7.29 	3.78 	3.75 	2.20 	2.77 	3.12 	2.18 	2.15 	2.00 
121	2.47 	2.53 	2.45 	2.55 	2.10 	1.96 	2.28 	1.58 	1.41 	3.59 	1.57 	3.82 	5.87 	3.42 	2.20 	2.33 	3.28 	4.23 	2.51 	2.45 	1.68 
122	2.69 	5.05 	9.75 	8.68 	5.84 	4.44 	3.29 	7.75 	165.99 	89.01 	42.09 	195.97 	-37.91 	-22.25 	-22.75 	3.81 	3.19 	5.06 	3.01 	2.50 	1.50 
123	3.21 	15.89 	-14.25 	100.21 	30.38 	3.86 	2.46 	1.85 	3.46 	7.36 	11.22 	19.62 	17.43 	8.12 	8.14 	5.93 	2.79 	4.29 	3.11 	3.75 	1.68 
124	2.23 	4.64 	4.35 	3.27 	2.17 	1.40 	1.20 	1.04 	2.03 	1.75 	1.23 	2.15 	2.79 	1.70 	1.76 	2.04 	5.59 	5.12 	4.22 	2.87 	1.72 
125	5.12 	5.84 	6.28 	3.11 	1.88 	1.46 	1.06 	0.92 	2.42 	5.30 	1.33 	3.72 	2.50 	1.32 	1.45 	1.77 	2.57 	4.06 	2.62 	2.02 	1.32 
126	2.07 	2.27 	3.72 	3.47 	3.51 	3.99 	1.78 	1.80 	3.53 	5.12 	1.79 	4.10 	3.88 	2.36 	1.92 	2.39 	2.47 	2.16 	1.88 	1.11 	1.06 
127	3.37 	5.31 	6.08 	3.92 	3.13 	2.20 	2.18 	1.46 	1.98 	3.44 	1.44 	3.21 	3.83 	1.91 	2.24 	2.92 	3.02 	4.02 	2.63 	2.04 	1.44 
128	4.23 	7.12 	12.35 	7.41 	5.95 	6.18 	10.62 	6.63 	3.63 	8.42 	2.19 	7.72 	8.66 	4.34 	1.56 	2.86 	2.68 	1.88 	1.38 	1.17 	0.80 
129	1.97 	3.04 	3.15 	3.13 	2.14 	1.74 	1.19 	0.84 	1.55 	7.69 	2.89 	4.56 	4.56 	2.55 	2.45 	4.40 	4.04 	3.03 	4.45 	1.98 	1.00 
130	1.42 	2.10 	6.91 	4.95 	5.70 	6.30 	4.59 	1.70 	3.03 	6.29 	2.31 	4.51 	4.74 	3.76 	2.65 	2.62 	4.49 	6.53 	5.82 	4.26 	2.73 
131	5.20 	9.89 	20.66 	15.25 	37.79 	-38.30 	-32.91 	-4.62 	-2.18 	-6.35 	-2.92 	-6.12 	-7.27 	-4.03 	-4.40 	5.77 	5.94 	11.89 	4.44 	2.32 	1.82 
